address,business_name,categories,price_range,rank,rating,review_count,url
23 W 32nd St Koreatown,Anytime,"Korean,American (New),Tapas/Small Plates",$$,35,4.5,1405,https://www.yelp.com/biz/anytime-new-york
13 St Marks Pl East Village,Spot Dessert Bar,"Desserts,Coffee &amp; Tea,Ice Cream &amp; Frozen Yogurt",$$,36,4.0,2979,https://www.yelp.com/biz/spot-dessert-bar-new-york-2
32 Spring St Nolita,Lombardi’s Pizza,Pizza,$$,37,4.0,6099,https://www.yelp.com/biz/lombardis-pizza-new-york-4
89 E 42nd St Midtown East,Grand Central Terminal,"Landmarks &amp; Historical Buildings,Train Stations",,38,4.5,1399,https://www.yelp.com/biz/grand-central-terminal-new-york
37 Spring St Nolita,Rice To Riches,Desserts,$$,39,4.0,3012,https://www.yelp.com/biz/rice-to-riches-new-york
91 E 7th St East Village,Caracas Arepa Bar,"Venezuelan,Bars",$$,40,4.0,2551,https://www.yelp.com/biz/caracas-arepa-bar-new-york
11 West 53rd St Midtown West,The Museum of Modern Art,Art Museums,,41,4.5,1993,https://www.yelp.com/biz/the-museum-of-modern-art-new-york-3
8 Stuyvesant St East Village,Angel’s Share,"Cocktail Bars,Speakeasies",$$,42,4.5,2111,https://www.yelp.com/biz/angels-share-new-york
228 W 10th St West Village,L’Artusi,"Italian,Cocktail Bars",$$$,43,4.5,1832,https://www.yelp.com/biz/l-artusi-new-york
17 Prince St Nolita,Cafe Habana,"Cuban,Mexican",$$,44,4.0,3152,https://www.yelp.com/biz/cafe-habana-new-york-4
235 Sullivan St Greenwich Village,Top Thai Greenwich,"Thai,Cocktail Bars,Halal",$$,45,4.5,1390,https://www.yelp.com/biz/top-thai-greenwich-new-york
53 W 35th St Midtown West,Izakaya MEW,"Tapas Bars,Sushi Bars,Izakaya",$$,46,4.0,2293,https://www.yelp.com/biz/izakaya-mew-new-york-3
119 MacDougal St Greenwich Village,Mamoun’s Falafel,"Middle Eastern,Falafel",$,47,4.0,2384,https://www.yelp.com/biz/mamouns-falafel-new-york-2
41 W 40th St Midtown West,Bryant Park,Parks,,48,4.5,1161,https://www.yelp.com/biz/bryant-park-new-york-2
146 Essex St Lower East Side,Beauty &amp; Essex,American (New),$$$,49,4.0,3497,https://www.yelp.com/biz/beauty-and-essex-new-york-2
60 E 65th St Upper East Side,Daniel,"French,American (Traditional),Cocktail Bars",$$$$,50,4.5,1582,https://www.yelp.com/biz/daniel-new-york-4
60 E 65th St Upper East Side,Daniel,"French,American (Traditional),Cocktail Bars",$$$$,51,4.5,1582,https://www.yelp.com/biz/daniel-new-york-4
424 E 9th St East Village,Thursday Kitchen,"Korean,American (New),Tapas/Small Plates",$$,52,4.5,1325,https://www.yelp.com/biz/thursday-kitchen-new-york
79 Chrystie St Lower East Side,Wah Fung No 1,"Chinese,Fast Food",$,53,4.5,1415,https://www.yelp.com/biz/wah-fung-no-1-new-york-2
200 W 44th St Theater District,Carmine’s Italian Restaurant - Times Square,"Italian,Caterers,Venues &amp; Event Spaces",$$,54,4.0,3778,https://www.yelp.com/biz/carmines-italian-restaurant-times-square-new-york-5
30 Rockefeller Ctr Midtown West,Top of the Rock,"Landmarks &amp; Historical Buildings,Observatories",,55,4.5,1629,https://www.yelp.com/biz/top-of-the-rock-new-york
220 W 23rd St Chelsea,Doughnut Plant,"Donuts,Coffee &amp; Tea",$$,56,4.0,2496,https://www.yelp.com/biz/doughnut-plant-new-york-2
126 Rivington St Lower East Side,Sugar Sweet Sunshine Bakery,Bakeries,$,57,4.0,2056,https://www.yelp.com/biz/sugar-sweet-sunshine-bakery-new-york
 ,Wafels &amp; Dinges,"Waffles,Food Trucks,Ice Cream &amp; Frozen Yogurt",$,58,4.5,1530,https://www.yelp.com/biz/wafels-and-dinges-new-york
72 W 36th St Midtown West,Keens Steakhouse,"Steakhouses,Desserts,Pubs",$$$$,59,4.0,2552,https://www.yelp.com/biz/keens-steakhouse-new-york
321 E 14th St Gramercy,Artichoke Basille’s Pizza,Pizza,$,60,4.0,3959,https://www.yelp.com/biz/artichoke-basilles-pizza-new-york-2
623 Vanderbilt Ave Prospect Heights,Ample Hills Creamery,"Ice Cream &amp; Frozen Yogurt,Coffee &amp; Tea",$$,61,4.5,1358,https://www.yelp.com/biz/ample-hills-creamery-brooklyn
831 3rd Ave Midtown East,Ess-a-Bagel,"Bakeries,Bagels,Delis",$,62,4.0,3584,https://www.yelp.com/biz/ess-a-bagel-new-york
80 Spring St SoHo,Balthazar Restaurant,"French,Breakfast &amp; Brunch",$$$,63,4.0,3090,https://www.yelp.com/biz/balthazar-restaurant-new-york
766 9th Ave Theater District,Pure Thai Cookhouse,"Thai,Noodles,Chicken Wings",$$,64,4.0,2522,https://www.yelp.com/biz/pure-thai-cookhouse-new-york
222 Waverly Pl West Village,Taim West Village,"Vegetarian,Sandwiches,Falafel",$$,65,4.5,1524,https://www.yelp.com/biz/taim-west-village-new-york
114 Macdougal St Greenwich Village,Saigon Shack,"Sandwiches,Coffee &amp; Tea,Salad",$,66,4.0,2384,https://www.yelp.com/biz/saigon-shack-new-york
307 W 47th St Theater District,Dutch Freds,"Cocktail Bars,American (New),Breakfast &amp; Brunch",$$,67,4.5,1575,https://www.yelp.com/biz/dutch-freds-new-york-2
7 Carmine St West Village,Joe’s Pizza,Pizza,$,68,4.0,2539,https://www.yelp.com/biz/joes-pizza-new-york-4
100 W Houston St Greenwich Village,Jane,"Breakfast &amp; Brunch,American (New),Bars",$$,69,4.0,3148,https://www.yelp.com/biz/jane-new-york-2
864 Madison Ave Upper East Side,Ladurée Madison Ave,"Macarons,Patisserie/Cake Shop,Tea Rooms",$$$,70,4.5,1883,https://www.yelp.com/biz/ladur%C3%A9e-madison-ave-new-york
3 Greenwich Ave West Village,Olio E Piú,"Pizza,Italian,Breakfast &amp; Brunch",$$,71,4.0,2211,https://www.yelp.com/biz/olio-e-pi%C3%BA-new-york-5
1 Central Park W Upper West Side,Jean-Georges,"French,American (New),Asian Fusion",$$$$,72,4.5,1877,https://www.yelp.com/biz/jean-georges-new-york-2
159 Mott St Little Italy,Milk &amp; Cream Cereal Bar,"Ice Cream &amp; Frozen Yogurt,Desserts,Custom Cakes",$$,73,4.5,968,https://www.yelp.com/biz/milk-and-cream-cereal-bar-new-york
558 Broome St South Village,La Sirene,French,$$$,74,4.5,1601,https://www.yelp.com/biz/la-sir%C3%A8ne-soho-new-york
15 E 7th St East Village,McSorleys Old Ale House,"Dive Bars,Breweries,Beer Bar",$,75,4.0,1769,https://www.yelp.com/biz/mcsorleys-old-ale-house-new-york
83-25 Broadway Elmhurst,JoJu,"Vietnamese,Sandwiches,Asian Fusion",$,76,4.5,1627,https://www.yelp.com/biz/joju-elmhurst
41-11 49th St Woodside,The Alcove,"Gastropubs,Tapas Bars,Breakfast &amp; Brunch",$$,77,5.0,852,https://www.yelp.com/biz/the-alcove-sunnyside
261 Moore St East Williamsburg,Roberta’s,"Pizza,Italian",$$,78,4.0,2840,https://www.yelp.com/biz/robertas-brooklyn-2
204 E 43rd St Midtown East,Sushi Yasuda,Japanese,$$$,79,4.0,2118,https://www.yelp.com/biz/sushi-yasuda-new-york
99 7th Ave S West Village,Boucherie West Village,"French,Cocktail Bars,Steakhouses",$$$,80,4.5,1422,https://www.yelp.com/biz/boucherie-west-village-new-york-3
204 E 43rd St Midtown East,Sushi Yasuda,Japanese,$$$,81,4.0,2118,https://www.yelp.com/biz/sushi-yasuda-new-york
99 7th Ave S West Village,Boucherie West Village,"French,Cocktail Bars,Steakhouses",$$$,82,4.5,1422,https://www.yelp.com/biz/boucherie-west-village-new-york-3
15 W 28th St Flatiron,KazuNori | The Original Hand Roll Bar,"Sushi Bars,Japanese",$$,83,4.5,935,https://www.yelp.com/biz/kazunori-the-original-hand-roll-bar-new-york-2
69 7th Ave S West Village,Bleecker Street Pizza,"Pizza,Italian",$,84,4.0,2361,https://www.yelp.com/biz/bleecker-street-pizza-new-york
95 E 10th St East Village,Sundaes and Cones,"Ice Cream &amp; Frozen Yogurt,Bakeries",$,85,4.5,1482,https://www.yelp.com/biz/sundaes-and-cones-new-york
342 E 6th St East Village,Raku,"Japanese,Noodles",$$,86,4.5,1066,https://www.yelp.com/biz/raku-new-york-7
12 W 32nd St Koreatown,Woorijip,Korean,$,87,4.0,2620,https://www.yelp.com/biz/woorijip-new-york-2
162 E Broadway Lower East Side,Jajaja Plantas Mexicana,"Mexican,Vegan,Bars",$$,88,4.5,927,https://www.yelp.com/biz/jajaja-plantas-mexicana-new-york-2
342 E 11th St East Village,Veniero’s,"Bakeries,Desserts,Italian",$$,89,4.0,2044,https://www.yelp.com/biz/venieros-new-york-2
240 Central Park S Midtown West,Marea,"Italian,Seafood,Wine Bars",$$$,90,4.0,2038,https://www.yelp.com/biz/marea-new-york
22 W 32nd St Koreatown,Jongro BBQ,"Korean,Barbeque,Beer Bar",$$,91,4.0,1939,https://www.yelp.com/biz/jongro-bbq-new-york-3
48 W 17th St Flatiron,Raines Law Room,"Lounges,Cocktail Bars,Venues &amp; Event Spaces",$$$,92,4.5,1455,https://www.yelp.com/biz/raines-law-room-new-york
370 W 51st St Theater District,B Side Pizza &amp; Wine Bar,"Pizza,Italian,Wine Bars",$$,93,4.5,1135,https://www.yelp.com/biz/b-side-pizza-and-wine-bar-new-york
239 E 5th St East Village,Coffee Project New York,"Coffee &amp; Tea,Sandwiches",$$,94,4.5,678,https://www.yelp.com/biz/coffee-project-new-york-new-york-3
278 Bleecker St West Village,John’s of Bleecker Street,Pizza,$$,95,4.0,2016,https://www.yelp.com/biz/johns-of-bleecker-street-new-york-2
33-12 23rd Ave Astoria,"Sal, Kris, &amp; Charlie’s Deli","Delis,Sandwiches",$,96,4.5,1058,https://www.yelp.com/biz/sal-kris-and-charlies-deli-astoria
23 Commerce St West Village,Sushi Nakazawa,"Japanese,Sushi Bars",$$$$,97,4.5,1390,https://www.yelp.com/biz/sushi-nakazawa-new-york
113 Macdougal St Greenwich Village,Minetta Tavern,"French,American (New),Breakfast &amp; Brunch",$$$,98,4.0,2190,https://www.yelp.com/biz/minetta-tavern-new-york
147 W 43rd St Theater District,Tony’s Di Napoli,Italian,$$,99,4.0,2094,https://www.yelp.com/biz/tonys-di-napoli-new-york-4
3307 Ditmars Blvd Astoria,Taverna Kyclades,"Seafood,Greek,Mediterranean",$$,100,4.0,2269,https://www.yelp.com/biz/taverna-kyclades-astoria
23 Commerce St West Village,Sushi Nakazawa,"Japanese,Sushi Bars",$$$$,101,4.5,1390,https://www.yelp.com/biz/sushi-nakazawa-new-york
113 Macdougal St Greenwich Village,Minetta Tavern,"French,American (New),Breakfast &amp; Brunch",$$$,102,4.0,2190,https://www.yelp.com/biz/minetta-tavern-new-york
147 W 43rd St Theater District,Tony’s Di Napoli,Italian,$$,103,4.0,2094,https://www.yelp.com/biz/tonys-di-napoli-new-york-4
3307 Ditmars Blvd Astoria,Taverna Kyclades,"Seafood,Greek,Mediterranean",$$,104,4.0,2269,https://www.yelp.com/biz/taverna-kyclades-astoria
1424 Ave J Midwood,Di Fara Pizza,Pizza,$$,105,4.0,3447,https://www.yelp.com/biz/di-fara-pizza-brooklyn
727 Manhattan Ave Greenpoint,Peter Pan Donut &amp; Pastry Shop,"Bakeries,Donuts",$,106,4.5,1304,https://www.yelp.com/biz/peter-pan-donut-and-pastry-shop-brooklyn-2
35 Orchard St Chinatown,Cheeky Sandwiches,"Sandwiches,Desserts",$,107,4.5,1158,https://www.yelp.com/biz/cheeky-sandwiches-new-york
118A Eldridge St Lower East Side,Vanessa’s Dumpling House,Chinese,$,108,4.0,2633,https://www.yelp.com/biz/vanessas-dumpling-house-new-york-2
362 W 45th St Midtown West,Schmackary’s,"Desserts,Bakeries,Coffee &amp; Tea",$,109,4.0,1987,https://www.yelp.com/biz/schmackarys-new-york
204 W 55th St Midtown West,Tanner Smiths,"Cocktail Bars,American (New),Speakeasies",$$,110,4.5,1743,https://www.yelp.com/biz/tanner-smiths-new-york-2
101 St Marks Pl East Village,Cafe Mogador,"Moroccan,Middle Eastern,Breakfast &amp; Brunch",$$,111,4.0,1896,https://www.yelp.com/biz/cafe-mogador-new-york
956 2nd Ave Midtown East,The Smith,"American (New),Breakfast &amp; Brunch,Cocktail Bars",$$,112,4.0,2627,https://www.yelp.com/biz/the-smith-new-york-2
90 Kent Ave Williamsburg - North Side,Williamsburg Smorgasburg - Saturday,Food Stands,$$,113,4.5,1119,https://www.yelp.com/biz/williamsburg-smorgasburg-saturday-brooklyn
20 W 29th St Flatiron,Stumptown Coffee Roasters,"Coffee &amp; Tea,Coffee Roasteries",$$,114,4.5,1401,https://www.yelp.com/biz/stumptown-coffee-roasters-new-york
575 Henry St Carroll Gardens,Lucali,Pizza,$$,115,4.5,1533,https://www.yelp.com/biz/lucali-brooklyn-3
198 Grand St Little Italy,Banh Mi Saigon,"Vietnamese,Sandwiches",$,116,4.0,1453,https://www.yelp.com/biz/banh-mi-saigon-new-york
158 E 48th St Midtown East,The Seafire Grill,"Seafood,Steakhouses,Bars",$$$,117,4.5,1278,https://www.yelp.com/biz/the-seafire-grill-new-york-4
166 S 4th St Williamsburg - South Side,Pies-n-Thighs,"Southern,Barbeque,Breakfast &amp; Brunch",$$,118,4.0,2889,https://www.yelp.com/biz/pies-n-thighs-brooklyn
230 E 9th St East Village,Cha-An,"Japanese,Tea Rooms",$$,119,4.0,1794,https://www.yelp.com/biz/cha-an-new-york
30 Water St Financial District,The Dead Rabbit,Cocktail Bars,$$,120,4.0,1566,https://www.yelp.com/biz/the-dead-rabbit-new-york
285 Grand St Lower East Side,99 Favor Taste,"Chinese,Hot Pot,Barbeque",$$,121,4.0,1850,https://www.yelp.com/biz/99-favor-taste-new-york-12
38 W 39th St Midtown West,Calle Dao - Bryant Park,"Cuban,Cocktail Bars,Breakfast &amp; Brunch",$$,122,4.0,1744,https://www.yelp.com/biz/calle-dao-bryant-park-new-york
1 Liberty Island ,Statue of Liberty,Landmarks &amp; Historical Buildings,,123,4.5,1020,https://www.yelp.com/biz/statue-of-liberty-new-york-3
1170 Broadway Flatiron,The NoMad Restaurant,"French,American (New),Gastropubs",$$$,124,4.0,1476,https://www.yelp.com/biz/the-nomad-restaurant-new-york
132 W 31st St Midtown West,Friedman’s,"American (New),Gluten-Free,Breakfast &amp; Brunch",$$,125,4.0,2447,https://www.yelp.com/biz/friedmans-new-york-59
210 Spring St South Village,Aquagrill,"Seafood,American (New),Live/Raw Food",$$$,126,4.0,1362,https://www.yelp.com/biz/aquagrill-new-york
26 S William St Financial District,Luke’s Lobster FiDi,Seafood,$$,127,4.5,1158,https://www.yelp.com/biz/lukes-lobster-fidi-new-york
164 Bedford Ave Williamsburg - North Side,Sweet Chick - Temp. CLOSED,"Southern,Breakfast &amp; Brunch,American (Traditional)",$$,128,4.0,1991,https://www.yelp.com/biz/sweet-chick-brooklyn
765 9th Ave Hell's Kitchen,Empanada Mama - Hell’s Kitchen,"Latin American,Food Delivery Services,Burgers",$,129,4.0,2427,https://www.yelp.com/biz/empanada-mama-hells-kitchen-new-york
40 Bowery St Chinatown,88 Lan Zhou Handmade Noodle,"Chinese,Noodles",$,130,4.0,1825,https://www.yelp.com/biz/88-lan-zhou-handmade-noodle-new-york
765 9th Ave Hell's Kitchen,Empanada Mama - Hell’s Kitchen,"Latin American,Food Delivery Services,Burgers",$,131,4.0,2427,https://www.yelp.com/biz/empanada-mama-hells-kitchen-new-york
40 Bowery St Chinatown,88 Lan Zhou Handmade Noodle,"Chinese,Noodles",$,132,4.0,1825,https://www.yelp.com/biz/88-lan-zhou-handmade-noodle-new-york
133 Wythe Ave Williamsburg - North Side,Cafe Mogador,"Moroccan,Breakfast &amp; Brunch,Mediterranean",$$,133,4.5,1165,https://www.yelp.com/biz/cafe-mogador-brooklyn
188 Ludlow St Lower East Side,il laboratorio del gelato,Ice Cream &amp; Frozen Yogurt,$$,134,4.0,1304,https://www.yelp.com/biz/il-laboratorio-del-gelato-new-york
334 Furman St ,Brooklyn Bridge Park,Parks,,135,4.5,517,https://www.yelp.com/biz/brooklyn-bridge-park-brooklyn-3
110 Waverly Pl Greenwich Village,Babbo,Italian,$$$$,136,4.0,2410,https://www.yelp.com/biz/babbo-new-york
3618 30th Ave Astoria,Queens Comfort,"Breakfast &amp; Brunch,American (New),Comfort Food",$$,137,4.0,2121,https://www.yelp.com/biz/queens-comfort-astoria
286 8th Ave Chelsea,Brooklyn Bagel &amp; Coffee Company,"Bagels,Breakfast &amp; Brunch,Cafes",$,138,4.0,1428,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2
604 10th Ave Hell's Kitchen,Pio Pio 8,"Latin American,Peruvian",$$,139,4.0,2330,https://www.yelp.com/biz/pio-pio-8-new-york-5
89A Bayard St Chinatown,Alimama,"Desserts,Donuts,Tea Rooms",$$,140,4.5,1008,https://www.yelp.com/biz/alimama-new-york-3
1486 2nd Ave Upper East Side,Uva,"Italian,Wine Bars",$$,141,4.0,2350,https://www.yelp.com/biz/uva-new-york
34 Cooper Sq NoHo,Gyu-Kaku Japanese BBQ,"Japanese,Barbeque,Asian Fusion",$$$,142,4.0,1670,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york
118 Eldridge St Lower East Side,Shu Jiao Fu Zhou Cuisine Restaurant,Chinese,$,143,4.5,843,https://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york
57 Great Jones St NoHo,Bohemian Restaurant,"Japanese,Cocktail Bars",$$$,144,4.5,760,https://www.yelp.com/biz/bohemian-restaurant-new-york
20 W 34th St Koreatown,Empire State Building,"Landmarks &amp; Historical Buildings,Observatories",,145,4.0,2020,https://www.yelp.com/biz/empire-state-building-new-york-2
221 E Broadway Lower East Side,Ice &amp; Vice,"Desserts,Ice Cream &amp; Frozen Yogurt,Food Delivery Services",$$,146,4.5,732,https://www.yelp.com/biz/ice-and-vice-new-york-6
241 E 10th St East Village,Snowdays,"Shaved Ice,Ice Cream &amp; Frozen Yogurt",$,147,4.0,1156,https://www.yelp.com/biz/snowdays-new-york
42 Grove St West Village,Buvette,"French,Wine Bars,Cocktail Bars",$$,148,4.0,1724,https://www.yelp.com/biz/buvette-new-york
140 W 4th St Greenwich Village,Red Bamboo,"Vegetarian,Soul Food,Vegan",$$,149,4.0,1705,https://www.yelp.com/biz/red-bamboo-new-york
57 W 58th St Midtown West,Quality Meats,Steakhouses,$$$$,150,4.0,1970,https://www.yelp.com/biz/quality-meats-new-york
241 E 10th St East Village,Snowdays,"Shaved Ice,Ice Cream &amp; Frozen Yogurt",$,151,4.0,1156,https://www.yelp.com/biz/snowdays-new-york
42 Grove St West Village,Buvette,"French,Wine Bars,Cocktail Bars",$$,152,4.0,1724,https://www.yelp.com/biz/buvette-new-york
140 W 4th St Greenwich Village,Red Bamboo,"Vegetarian,Soul Food,Vegan",$$,153,4.0,1705,https://www.yelp.com/biz/red-bamboo-new-york
57 W 58th St Midtown West,Quality Meats,Steakhouses,$$$$,154,4.0,1970,https://www.yelp.com/biz/quality-meats-new-york
60 Greenpoint Ave Greenpoint,Paulie Gee’s,"Pizza,Vegan,Italian",$$,155,4.5,1242,https://www.yelp.com/biz/paulie-gees-brooklyn
2788 Broadway Manhattan Valley,Absolute Bagels,"Bakeries,Bagels",$,156,4.5,1395,https://www.yelp.com/biz/absolute-bagels-new-york
197 Meserole St East Williamsburg,Champs Diner,"Vegan,Bakeries,Diners",$$,157,4.0,1541,https://www.yelp.com/biz/champs-diner-brooklyn
409 W 15th St Meatpacking District,Los Mariscos,"Seafood,Tacos",$,158,4.5,573,https://www.yelp.com/biz/los-mariscos-new-york
342 Lexington Ave Murray Hill,Momosan Ramen &amp; Sake,"Ramen,Tapas/Small Plates",$$,159,4.0,1637,https://www.yelp.com/biz/momosan-ramen-and-sake-new-york-2
251 W 18th St Chelsea,City Cakes,"Desserts,Bakeries,Custom Cakes",$$,160,4.5,687,https://www.yelp.com/biz/city-cakes-new-york
251 W 18th St Chelsea,City Cakes,"Desserts,Bakeries,Custom Cakes",$$,161,4.5,687,https://www.yelp.com/biz/city-cakes-new-york
89 Conselyea St Williamsburg - North Side,DeStefano’s Steakhouse,Steakhouses,$$$,162,4.5,827,https://www.yelp.com/biz/destefanos-steakhouse-brooklyn
326 W 47th St Midtown West,Frisson Espresso,"Coffee &amp; Tea,Cafes",$,163,4.5,706,https://www.yelp.com/biz/frisson-espresso-new-york
103 2nd Ave East Village,Mighty Quinn’s Barbeque,Barbeque,$$,164,4.0,1750,https://www.yelp.com/biz/mighty-quinns-barbeque-new-york
17 E 31st St Midtown East,Her Name Is Han,"Korean,Breakfast &amp; Brunch,Cocktail Bars",$$,165,4.0,1194,https://www.yelp.com/biz/her-name-is-han-new-york-3
2 Harrison St TriBeCa,Jungsik,Korean,$$$$,166,4.5,586,https://www.yelp.com/biz/jungsik-new-york
111 Avenue A East Village,Yuca Bar,"Latin American,Tapas Bars,Cocktail Bars",$$,167,4.0,1781,https://www.yelp.com/biz/yuca-bar-new-york
95 Prospect Park W Prospect Park,Prospect Park,Parks,,168,4.5,565,https://www.yelp.com/biz/prospect-park-brooklyn
125 E 7th St East Village,Big Gay Ice Cream Shop,"Ice Cream &amp; Frozen Yogurt,Desserts",$,169,4.0,1993,https://www.yelp.com/biz/big-gay-ice-cream-shop-new-york
203 E 10th St East Village,ChikaLicious Dessert Bar,"Desserts,Coffee &amp; Tea",$$,170,4.0,1319,https://www.yelp.com/biz/chikalicious-dessert-bar-new-york-3
90 Bedford St West Village,The Little Owl,"Breakfast &amp; Brunch,Mediterranean",$$$,171,4.0,1267,https://www.yelp.com/biz/the-little-owl-new-york-2
271 Bleecker St West Village,Kesté Pizza &amp; Vino,"Pizza,Italian,Wine Bars",$$,172,4.0,1399,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5
37 W 43rd Midtown West,Xi’an Famous Foods,"Chinese,Burgers,Noodles",$,173,4.0,1690,https://www.yelp.com/biz/xian-famous-foods-new-york-39
185 Bleecker St Greenwich Village,by CHLOE,"Vegan,Salad,Gluten-Free",$$,174,4.0,1666,https://www.yelp.com/biz/by-chloe-new-york-32
254 S 2nd St Williamsburg - South Side,L’industrie Pizzeria,Pizza,$,175,4.5,521,https://www.yelp.com/biz/l-industrie-pizzeria-brooklyn
85 10th Ave Meatpacking District,Del Posto,Italian,$$$$,176,4.0,1440,https://www.yelp.com/biz/del-posto-new-york
113 Saint Marks Pl East Village,Crif Dogs,"Hot Dogs,American (New)",$,177,4.0,2101,https://www.yelp.com/biz/crif-dogs-new-york
128 Macdougal St Greenwich Village,Pommes Frites,"Belgian,Specialty Food,Poutineries",$,178,4.5,905,https://www.yelp.com/biz/pommes-frites-new-york-2
